Title,Subtitle,CELEX number,Initiating document,Procedure reference,Initial reference,Adopted acts,Current consolidated version,Latest consolidated version,Procedure status,LP_Legal basis,ELI,Form,EUROVOC descriptor,ECLI identifier,Subject matter,Directory code,Case-Law directory code (before Lisbon),Case-Law directory code (after Lisbon),Legal basis,Transposed legal act(s),Rectified by,Type of procedure,Collection of the document,Date of document,Date of publication,Author,Date of effect,Date of end of validity,Date of transposition,Applicant/Appellant,Defendant/Other parties to the proceedings,In force indicator,Number of pages,Publication Reference,Document URL,,,,,,,,,
Regulation (EU) 2024/1624 of the European Parliament and of the Council of 31 May 2024 on the prevention of the use of the financial system for the purposes of money laundering or terrorist financing (Text with EEA relevance),PE/36/2024/REV/1,32024R1624,,,,,,,,,http://data.europa.eu/eli/reg/2024/1624/oj,Regulation,"financial supervision, economic offence, exchange of information, ownership, fight against crime, banking supervision, terrorism financing , financial institution, money laundering, financial transparency",,"Internal market - Principles, Justice and home affairs, Judicial cooperation in criminal matters","Area of freedom, security and justice, Police and judicial cooperation in criminal and customs matters, Judicial cooperation in criminal matters",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E114,,,,"ALL_ALL, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ",31/05/2024,19/06/2024,"Council of the European Union, European Parliament","2029-07-10, 2024-07-09, 2027-07-10",No end date,,,,TRUE,,"OJ L, 2024/1624,  , ELI: http://data.europa.eu/eli/reg/2024/1624/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401624,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401624,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401624,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401624,202401624,2024R1624,32024R1624,10
"Regulation (EU) 2024/1620 of the European Parliament and of the Council of 31 May 2024 establishing the Authority for Anti-Money Laundering and Countering the Financing of Terrorism and amending Regulations (EU) No 1093/2010, (EU) No 1094/2010 and (EU) No 1095/2010 (Text with EEA relevance)",PE/35/2024/INIT,32024R1620,,,,,10/11/2025,10/11/2025,,,http://data.europa.eu/eli/reg/2024/1620/oj,Regulation,"operation of the Institutions, financial supervision, fight against crime, economic offence, financial transaction, financial institution, money laundering, banking supervision, terrorism financing ",,"Provisions governing the Institutions, Justice and home affairs, Judicial cooperation in criminal matters","Area of freedom, security and justice, General, financial and institutional matters, Police and judicial cooperation in criminal and customs matters, Provisions governing the institutions, Judicial cooperation in criminal matters",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E114,,,,"ALL_ALL, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ",31/05/2024,19/06/2024,"Council of the European Union, European Parliament","2024-06-26, 2025-12-31, 2025-07-01",No end date,,,,TRUE,,"OJ L, 2024/1620,  , ELI: http://data.europa.eu/eli/reg/2024/1620/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401620,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401624,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401620,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401620,202401620,2024R1620,32024R1620,10
"Regulation (EU) 2023/2859 of the European Parliament and of the Council of 13 December 2023 establishing a European single access point providing centralised access to publicly available information of relevance to financial services, capital markets and sustainability (Text with EEA relevance)",PE/42/2023/REV/1,32023R2859,,,,,25/07/2024,25/07/2024,,,http://data.europa.eu/eli/reg/2023/2859/oj,Regulation,"financial legislation, digital single market, information system, open data, data collection, capital market, financial services, disclosure of information, access to information, European Securities and Markets Authority",,"Free movement of capital, Dissemination of information, Internal market - Principles","Industrial policy and internal market, Economic and monetary policy and free movement of capital, Industrial policy: sectoral operations, Free movement of capital, Information technology, telecommunications and data-processing",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E114,,,,"ALL_ALL, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ",13/12/2023,20/12/2023,"European Parliament, Council of the European Union",09/01/2024,No end date,,,,TRUE,,"OJ L, 2023/2859,  , ELI: http://data.europa.eu/eli/reg/2023/2859/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202302859,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202302859,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202302859,202302859,2023R2859,32023R2859,10
"Regulation (EU) 2022/2554 of the European Parliament and of the Council of 14 December 2022 on digital operational resilience for the financial sector and amending Regulations (EC) No 1060/2009, (EU) No 648/2012, (EU) No 600/2014, (EU) No 909/2014 and (EU) 2016/1011 (Text with EEA relevance)",PE/41/2022/INIT,32022R2554,,,,,,,,,http://data.europa.eu/eli/reg/2022/2554/oj,Regulation,"cloud computing, information technology, digitisation, financial services, outsourcing, information security, digital single market, financial technology, risk management",,"Telecommunications, Internal market - Principles, Security system","Industrial policy and internal market, Right of establishment and freedom to provide services, Industrial policy: sectoral operations, Sectoral application, Information technology, telecommunications and data-processing, Service activities, Other service activities",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E114,,,,"ALL_ALL, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ",14/12/2022,27/12/2022,"European Parliament, Council of the European Union","2023-01-16, 2025-01-17",No end date,,,,TRUE,79,"OJ L 333, , p. 1–79
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202202554,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202202554,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202202554,202202554,2022R2554,32022R2554,10
"Regulation (EU) 2022/858 of the European Parliament and of the Council of 30 May 2022 on a pilot regime for market infrastructures based on distributed ledger technology, and amending Regulations (EU) No 600/2014 and (EU) No 909/2014 and Directive 2014/65/EU (Text with EEA relevance)",PE/88/2021/REV/2,32022R0858,,,,,,,,,http://data.europa.eu/eli/reg/2022/858/oj,Regulation,"blockchain, digital single market, electronic money, financial legislation, consumer protection, information technology applications, financial instrument, financial services, virtual currency, investment protection",,"Financial provisions, Internal market - Principles, Technology","Right of establishment and freedom to provide services, Right of establishment and freedom to provide services, Industrial policy and internal market, Sectoral application, Sectoral application, Industrial policy: sectoral operations, Service activities, Service activities, Information technology, telecommunications and data-processing, Banks, Other service activities",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E114,,,,"ALL_ALL, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ",30/05/2022,02/06/2022,"European Parliament, Council of the European Union","2021-07-04, 2023-03-23, 2022-06-22",No end date,,,,TRUE,33,"OJ L 151, , p. 1–33
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202200858,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202200858,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202200858,202200858,2022R0858,32022R0858,10
"Regulation (EU) 2021/23 of the European Parliament and of the Council of 16 December 2020 on a framework for the recovery and resolution of central counterparties and amending Regulations (EU) No 1095/2010, (EU) No 648/2012, (EU) No 600/2014, (EU) No 806/2014 and (EU) 2015/2365 and Directives 2002/47/EC, 2004/25/EC, 2007/36/EC, 2014/59/EU and (EU) 2017/1132 (Text with EEA relevance)",,32021R0023,,,,,,,,,http://data.europa.eu/eli/reg/2021/23/oj,Regulation,"financial intervention, financial transaction, financial services, financial solvency, financial legislation, company in difficulties, financial instrument, financial institution",,"Freedom of establishment, Free movement of capital","Right of establishment and freedom to provide services, Right of establishment and freedom to provide services, Sectoral application, Sectoral application, Service activities, Service activities, Banks, Stock exchanges and other securities markets",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E114,,,,"ALL_ALL, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ",16/12/2020,22/01/2021,"Council of the European Union, European Parliament","2022-08-12, 2020-07-04, 2021-02-11, 2022-02-12, 2023-02-12",No end date,,,,TRUE,102,"OJ L 22, , p. 1–102
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202100023,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202100023,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202100023,202100023,2021R0023,32021R0023,10
"Regulation (EU) 2020/1503 of the European Parliament and of the Council of 7 October 2020 on European crowdfunding service providers for business, and amending Regulation (EU) 2017/1129 and Directive (EU) 2019/1937 (Text with EEA relevance)",PE/37/2020/INIT,32020R1503,,,,,,,,,http://data.europa.eu/eli/reg/2020/1503/oj,Regulation,"early-stage capital, provision of services, financial services, investment, small and medium-sized enterprises, crowdfunding, start-up, financial legislation",,"Freedom of establishment, Freedom to provide services","Right of establishment and freedom to provide services, Sectoral application, Service activities",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E114,,,,"ALL_ALL, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ",07/10/2020,20/10/2020,"Council of the European Union, European Parliament","2020-11-09, 2021-11-10",No end date,10/11/2021,,,TRUE,49,"OJ L 347, , p. 1–49
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202001503,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202001503,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202001503,202001503,2020R1503,32020R1503,10
Regulation (EU) 2019/2088 of the European Parliament and of the Council of 27 November 2019 on sustainability‐related disclosures in the financial services sector (Text with EEA relevance),PE/87/2019/REV/1,32019R2088,,,,,09/01/2024,09/01/2024,,,http://data.europa.eu/eli/reg/2019/2088/oj,Regulation,"financial legislation, consumer information, financial occupation, investment company, disclosure of information, financial services, investment, financial risk, risk management, insurance",,"Free movement of capital, Investments","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital, Free movement of capital, Economic policy, Instruments of economic policy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E114,,,,"ALL_ALL, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ",27/11/2019,09/12/2019,"European Parliament, Council of the European Union","2019-12-29, 2022-01-01, 2020-07-12, 2021-03-10, 2023-01-01",No end date,,,,TRUE,16,"OJ L 317, , p. 1–16
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_201902088,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_201902088,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_201902088,201902088,2019R2088,32019R2088,10
"Regulation (EU) 2019/2033 of the European Parliament and of the Council of 27 November 2019 on the prudential requirements of investment firms and amending Regulations (EU) No 1093/2010, (EU) No 575/2013, (EU) No 600/2014 and (EU) No 806/2014 (Text with EEA relevance)",PE/80/2019/REV/1,32019R2033,,,,,09/01/2024,09/01/2024,,,http://data.europa.eu/eli/reg/2019/2033/oj,Regulation,"capital market, venture capital, financial control, investment company, private-sector liquidity, financial supervision, disclosure of information, financial legislation",,"Freedom of establishment, Financial provisions, Internal market - Principles","Right of establishment and freedom to provide services, Right of establishment and freedom to provide services, Sectoral application, Sectoral application, Service activities, Service activities, Banks, Other service activities",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E114,,,,"ALL_ALL, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ",27/11/2019,05/12/2019,"Council of the European Union, European Parliament","2019-12-25, 2021-06-26, 2020-03-26",No end date,,,,TRUE,63,"OJ L 314, , p. 1–63
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_201902033,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_201902033,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_201902033,201902033,2019R2033,32019R2033,10
"Regulation (EU) 2019/1156 of the European Parliament and of the Council of 20 June 2019 on facilitating cross-border distribution of collective investment undertakings and amending Regulations (EU) No 345/2013, (EU) No 346/2013 and (EU) No 1286/2014 (Text with EEA relevance.)",PE/54/2019/REV/1,32019R1156,,,,,,,,,http://data.europa.eu/eli/reg/2019/1156/oj,Regulation,"marketing, capital market, alternative investment, European Securities and Markets Authority, financial legislation, UCITS fund, investment transaction",,"Free movement of capital, Approximation of laws, Freedom of establishment","Economic and monetary policy and free movement of capital, Right of establishment and freedom to provide services, Free movement of capital, Sectoral application, Service activities, Stock exchanges and other securities markets",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E114,,,,"ALL_ALL, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ",20/06/2019,12/07/2019,"Council of the European Union, European Parliament","2019-08-01, 2021-08-02",No end date,,,,TRUE,12,"OJ L 188, , p. 55–66
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_201901156,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_201901156,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_201901156,201901156,2019R1156,32019R1156,10
